timestamp,server_id,cpu_used,q_len,network_in,network_out,bottleneck
0.26,Server 0,68,4,33,28,0
0.26,Server 1,42,2,47,41,0
0.26,Server 2,42,3,55,57,0
0.37,Server 0,55,7,29,39,0
0.37,Server 1,50,4,48,42,0
0.37,Server 2,36,3,52,53,0
0.73,Server 0,55,7,29,28,0
0.73,Server 1,51,2,50,35,0
0.73,Server 2,69,7,62,59,0
1.0,Server 0,50,2,33,27,0
1.0,Server 1,60,3,47,45,0
1.0,Server 2,54,3,66,55,0
1.34,Server 0,43,7,36,36,0
1.34,Server 1,54,6,49,48,0
1.34,Server 2,44,7,55,48,0
3.16,Server 0,60,8,29,39,0
3.16,Server 1,64,5,55,47,0
3.16,Server 2,72,5,54,59,0
5.63,Server 0,60,6,36,47,0
5.63,Server 1,68,6,52,55,0
5.63,Server 2,65,6,60,49,0
8.91,Server 0,72,10,43,34,0
8.91,Server 1,51,5,52,60,0
8.91,Server 2,66,6,50,47,0
9.73,Server 0,84,10,40,48,1
9.73,Server 1,65,6,53,52,0
9.73,Server 2,74,9,47,57,0
11.52,Server 0,78,6,48,53,0
11.52,Server 1,72,2,63,46,0
11.52,Server 2,86,7,55,57,1
15.37,Server 0,80,10,48,46,1
15.37,Server 1,66,1,54,55,0
15.37,Server 2,83,7,46,51,1
16.15,Server 0,81,7,54,54,1
16.15,Server 1,96,9,54,55,1
16.15,Server 2,83,6,49,48,1
17.72,Server 0,87,6,49,54,1
17.72,Server 1,84,8,58,46,1
17.72,Server 2,77,6,45,39,0
18.28,Server 0,82,6,51,44,1
18.28,Server 1,88,10,54,50,1
18.28,Server 2,70,7,45,39,0
18.58,Server 0,100,9,55,57,1
18.58,Server 1,81,8,49,49,1
18.58,Server 2,74,6,50,52,0
20.61,Server 0,75,7,55,45,0
20.61,Server 1,99,7,48,51,1
20.61,Server 2,90,9,43,41,1
24.37,Server 0,93,9,62,62,1
24.37,Server 1,82,8,42,46,1
24.37,Server 2,87,6,36,38,1
25.68,Server 0,90,8,60,56,1
25.68,Server 1,84,7,49,41,1
25.68,Server 2,87,3,45,32,1
26.28,Server 0,67,10,53,51,0
26.28,Server 1,84,7,45,52,1
26.28,Server 2,86,10,48,36,1
26.93,Server 0,98,9,46,60,1
26.93,Server 1,100,10,52,39,1
26.93,Server 2,100,8,32,33,1
27.91,Server 0,88,6,57,58,1
27.91,Server 1,94,7,52,42,1
27.91,Server 2,99,9,34,29,1
28.07,Server 0,100,8,52,48,1
28.07,Server 1,96,8,43,51,1
28.07,Server 2,88,9,31,31,1
30.76,Server 0,90,10,68,55,1
30.76,Server 1,80,9,62,49,1
30.76,Server 2,82,4,22,26,1
