timestamp,server_id,cpu_used,q_len,network_in,network_out
1,Server 0,0,0,0,0
1,Server 1,0,0,0,0
1,Server 2,0,0,0,0
2,Server 0,0,0,0,0
2,Server 1,0,0,0,0
2,Server 2,0,0,0,0
3,Server 0,0,0,0,0
3,Server 1,0,0,0,0
3,Server 2,0,0,0,0
4,Server 0,0,0,0,0
4,Server 1,0,0,0,0
4,Server 2,0,0,0,0
5,Server 0,0,0,0,0
5,Server 1,0,0,0,0
5,Server 2,0,0,0,0
6,Server 0,18,1,8,8
6,Server 1,27,1,6,14
6,Server 2,0,0,0,0
7,Server 0,18,1,8,8
7,Server 1,27,1,6,14
7,Server 2,0,0,0,0
8,Server 0,18,1,8,8
8,Server 1,27,1,6,14
8,Server 2,0,0,0,0
9,Server 0,18,1,8,8
9,Server 1,27,1,6,14
9,Server 2,0,0,0,0
10,Server 0,18,1,8,8
10,Server 1,27,1,6,14
10,Server 2,0,0,0,0
11,Server 0,18,1,8,8
11,Server 1,27,1,6,14
11,Server 2,0,0,0,0
12,Server 0,18,1,8,8
12,Server 1,27,1,6,14
12,Server 2,12,1,8,8
13,Server 0,27,1,8,15
13,Server 1,27,1,6,14
13,Server 2,12,1,8,8
14,Server 0,27,1,8,15
14,Server 1,27,1,6,14
14,Server 2,12,1,8,8
15,Server 0,27,1,8,15
15,Server 1,27,1,6,14
15,Server 2,12,1,8,8
16,Server 0,27,1,8,15
16,Server 1,27,1,6,14
16,Server 2,12,1,8,8
17,Server 0,27,1,8,15
17,Server 1,24,1,14,9
17,Server 2,12,1,8,8
18,Server 0,27,1,8,15
18,Server 1,24,1,14,9
18,Server 2,12,1,8,8
19,Server 0,27,1,8,15
19,Server 1,24,1,14,9
19,Server 2,12,1,8,8
20,Server 0,27,1,8,15
20,Server 1,24,1,14,9
20,Server 2,27,2,19,18
21,Server 0,27,1,8,15
21,Server 1,24,1,14,9
21,Server 2,27,2,19,18
22,Server 0,27,1,8,15
22,Server 1,0,0,0,0
22,Server 2,27,2,19,18
23,Server 0,27,1,8,15
23,Server 1,0,0,0,0
23,Server 2,27,2,19,18
24,Server 0,27,1,8,15
24,Server 1,0,0,0,0
24,Server 2,27,2,19,18
25,Server 0,27,1,8,15
25,Server 1,0,0,0,0
25,Server 2,15,1,11,10
26,Server 0,0,0,0,0
26,Server 1,0,0,0,0
26,Server 2,15,1,11,10
27,Server 0,20,1,6,6
27,Server 1,0,0,0,0
27,Server 2,15,1,11,10
28,Server 0,20,1,6,6
28,Server 1,21,1,14,9
28,Server 2,42,2,17,21
29,Server 0,20,1,6,6
29,Server 1,21,1,14,9
29,Server 2,27,1,6,11
30,Server 0,20,1,6,6
30,Server 1,21,1,14,9
30,Server 2,27,1,6,11
31,Server 0,20,1,6,6
31,Server 1,21,1,14,9
31,Server 2,27,1,6,11
32,Server 0,20,1,6,6
32,Server 1,21,1,14,9
32,Server 2,27,1,6,11
33,Server 0,20,1,6,6
33,Server 1,0,0,0,0
33,Server 2,27,1,6,11
34,Server 0,20,1,6,6
34,Server 1,0,0,0,0
34,Server 2,0,0,0,0
35,Server 0,50,2,20,16
35,Server 1,0,0,0,0
35,Server 2,0,0,0,0
36,Server 0,50,2,20,16
36,Server 1,0,0,0,0
36,Server 2,0,0,0,0
37,Server 0,50,2,20,16
37,Server 1,0,0,0,0
37,Server 2,0,0,0,0
38,Server 0,30,1,14,10
38,Server 1,0,0,0,0
38,Server 2,0,0,0,0
39,Server 0,30,1,14,10
39,Server 1,12,1,5,15
39,Server 2,0,0,0,0
40,Server 0,30,1,14,10
40,Server 1,12,1,5,15
40,Server 2,12,1,8,6
41,Server 0,30,1,14,10
41,Server 1,12,1,5,15
41,Server 2,12,1,8,6
42,Server 0,30,1,14,10
42,Server 1,12,1,5,15
42,Server 2,12,1,8,6
43,Server 0,30,1,14,10
43,Server 1,12,1,5,15
43,Server 2,12,1,8,6
44,Server 0,30,1,14,10
44,Server 1,12,1,5,15
44,Server 2,12,1,8,6
45,Server 0,30,1,14,10
45,Server 1,12,1,5,15
45,Server 2,12,1,8,6
46,Server 0,30,1,14,10
46,Server 1,12,1,5,15
46,Server 2,12,1,8,6
47,Server 0,60,2,24,17
47,Server 1,0,0,0,0
47,Server 2,12,1,8,6
48,Server 0,60,2,24,17
48,Server 1,0,0,0,0
48,Server 2,12,1,8,6
49,Server 0,30,1,10,7
49,Server 1,18,1,15,15
49,Server 2,12,1,8,6
50,Server 0,30,1,10,7
50,Server 1,18,1,15,15
50,Server 2,12,1,8,6
51,Server 0,30,1,10,7
51,Server 1,18,1,15,15
51,Server 2,15,1,13,8
52,Server 0,30,1,10,7
52,Server 1,18,1,15,15
52,Server 2,15,1,13,8
53,Server 0,30,1,10,7
53,Server 1,18,1,15,15
53,Server 2,15,1,13,8
54,Server 0,30,1,10,7
54,Server 1,18,1,15,15
54,Server 2,15,1,13,8
55,Server 0,30,1,10,7
55,Server 1,0,0,0,0
55,Server 2,15,1,13,8
56,Server 0,48,2,25,20
56,Server 1,0,0,0,0
56,Server 2,15,1,13,8
57,Server 0,18,1,15,13
57,Server 1,0,0,0,0
57,Server 2,15,1,13,8
58,Server 0,18,1,15,13
58,Server 1,0,0,0,0
58,Server 2,0,0,0,0
59,Server 0,18,1,15,13
59,Server 1,11,1,8,5
59,Server 2,0,0,0,0
60,Server 0,18,1,15,13
60,Server 1,11,1,8,5
60,Server 2,0,0,0,0
61,Server 0,18,1,15,13
61,Server 1,11,1,8,5
61,Server 2,0,0,0,0
62,Server 0,18,1,15,13
62,Server 1,11,1,8,5
62,Server 2,0,0,0,0
63,Server 0,18,1,15,13
63,Server 1,11,1,8,5
63,Server 2,0,0,0,0
64,Server 0,0,0,0,0
64,Server 1,11,1,8,5
64,Server 2,0,0,0,0
65,Server 0,0,0,0,0
